Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty
,Aaron Schobel,27,BUF,RDE,16,16,0,0,0,0,4.0,5,0,3,0,0,8.0,73.0,46.0,27.0,9.0,0
,Bryan Scott,23,ATL,SS,16,16,1,22,0,22,5.0,1,0,1,1,0,2.5,97.0,86.0,11.0,2.0,0
,Jamie Sharper,30,HOU,RILB,16,16,0,0,0,0,9.0,3,0,1,16,1,2.0,139.0,98.0,41.0,10.0,0
,Will Shields,33,KAN,RG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Corey Simon,27,PHI,LDT,16,16,0,0,0,0,1.0,0,0,0,0,0,5.5,32.0,26.0,6.0,9.0,0
,Brady Smith,31,ATL,RDE,16,16,1,1,0,1,3.0,3,0,2,0,1,6.0,34.0,29.0,5.0,7.0,0
,Dwight Smith,26,TAM,SS,16,16,3,13,0,13,13.0,3,0,0,0,0,0.0,86.0,75.0,11.0,3.0,0
,Jimmy Smith,35,JAX,WR,16,16,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Justin Smith,25,CIN,RDE,16,16,0,0,0,0,2.0,2,0,2,0,0,8.0,71.0,42.0,29.0,7.0,0
,Robaire Smith,27,HOU,RDE,16,16,0,0,0,0,9.0,0,0,0,0,0,2.0,52.0,32.0,20.0,6.0,0
,Rod Smith,34,DEN,WR,16,16,0,0,0,0,0.0,0,4,3,0,0,0.0,1.0,1.0,0.0,0.0,0
,Jerald Sowell,30,NYJ,FB,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0
,Takeo Spikes,28,BUF,RLB,16,16,5,122,2,62,18.0,4,0,1,0,0,3.0,98.0,63.0,35.0,8.0,0
,Greg Spires,30,TAM,LDE,16,16,0,0,0,0,3.0,3,0,2,0,0,8.0,61.0,47.0,14.0,9.0,0
,Alex Stepanovich,23,ARI,C,16,16,0,0,0,0,,0,0,2,-4,0,0.0,0.0,0.0,0.0,0.0,0
,Marcus Stroud,26,JAX,LDT,16,16,0,0,0,0,3.0,2,0,1,0,0,4.5,54.0,38.0,16.0,5.0,0
,Terrell Suggs,22,BAL,LOLB,16,16,0,0,0,0,1.0,1,0,2,24,0,10.5,67.0,51.0,16.0,17.0,0
,Jason Taylor,30,MIA,RDE,16,16,1,-3,0,-3,11.0,2,0,3,1,0,9.5,68.0,41.0,27.0,12.0,0
,Adalius Thomas,27,BAL,ROLB,16,16,1,8,0,8,5.0,4,0,0,0,0,8.0,72.0,55.0,17.0,11.0,0
,John Thornton,28,CIN,LDT,16,16,0,0,0,0,4.0,0,0,0,0,0,3.0,57.0,37.0,20.0,9.0,0
,Pisa Tinoisamoa,23,STL,RLB,16,16,0,0,0,0,4.0,0,0,1,10,0,1.5,95.0,76.0,19.0,10.0,0
,Robbie Tobeck,34,SEA,C,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Reggie Tongue,31,NYJ,SS,16,16,1,23,0,23,5.0,1,0,1,0,0,0.0,72.0,55.0,17.0,2.0,0
,Adam Treu,30,OAK,C,16,16,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0
,Marcus Trufant,24,SEA,LCB,16,16,5,141,0,58,20.0,0,0,0,0,0,1.0,96.0,86.0,10.0,3.0,0
,Chris Villarrial,31,BUF,RG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Mike Wahle,27,GNB,LG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Bracy Walker,34,DET,SS,16,16,1,0,0,0,6.0,0,0,2,2,0,1.0,78.0,56.0,22.0,2.0,0
,Darwin Walker,27,PHI,RDT,16,16,0,0,0,0,3.0,2,0,0,0,0,4.5,29.0,22.0,7.0,4.0,0
,Seth Wand,25,HOU,LT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Hines Ward,28,PIT,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Eric Warfield,28,KAN,LCB,16,16,4,49,1,43,12.0,1,0,0,0,0,0.0,58.0,50.0,8.0,1.0,0
,Ty Warren,23,NWE,LDE,16,16,0,0,0,0,1.0,2,0,0,0,0,3.5,49.0,39.0,10.0,7.0,0
,Dewayne Washington,32,JAX,RCB,16,16,2,0,0,0,9.0,1,0,0,0,0,0.0,77.0,68.0,9.0,2.0,0
,Marcus Washington,27,WAS,LLB,16,16,0,0,0,0,3.0,1,0,1,-4,0,4.5,107.0,87.0,20.0,15.0,0
,Ted Washington,36,OAK,LDT,16,16,0,0,0,0,1.0,1,0,0,0,0,3.0,41.0,33.0,8.0,1.0,0
