Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Unnamed: 17_level_0,Unnamed: 18_level_0
Rk,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
116.0,Tashard Choice,26.0,DAL,RB,16.0,0.0,0.0,0.0,0.0,0.0,,3.0,61.0,0.0,27.0,20.3,413.0,
117.0,Patrick Cobbs,27.0,MIA,RB,16.0,1.0,0.0,0.0,0.0,0.0,,23.0,448.0,0.0,40.0,19.5,539.0,
118.0,John Conner,23.0,NYJ,RB,16.0,0.0,0.0,0.0,0.0,0.0,,3.0,35.0,0.0,18.0,11.7,88.0,
119.0,Dan Connolly,28.0,NWE,LG/RG,14.0,13.0,0.0,0.0,0.0,0.0,,3.0,90.0,0.0,71.0,30.0,90.0,
120.0,Jared Cook,23.0,TEN,TE,16.0,1.0,0.0,0.0,0.0,0.0,,1.0,3.0,0.0,3.0,3.0,366.0,
121.0,Riley Cooper,23.0,PHI,WR,13.0,2.0,0.0,0.0,0.0,0.0,,0.0,9.0,0.0,9.0,,125.0,
122.0,Terrance Copper,28.0,KAN,WR,16.0,3.0,0.0,0.0,0.0,0.0,,2.0,26.0,0.0,17.0,13.0,183.0,
123.0,Michael Crabtree,23.0,SFO,WR,16.0,15.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,741.0,
124.0,Alge Crumpler,33.0,NWE,TE,16.0,10.0,0.0,0.0,0.0,0.0,,5.0,18.0,0.0,7.0,3.6,70.0,
125.0,James Davis,24.0,CLE,RB,4.0,0.0,0.0,0.0,0.0,0.0,,1.0,11.0,0.0,11.0,11.0,20.0,
126.0,Kellen Davis,25.0,CHI,TE,16.0,3.0,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,2.0,2.0,21.0,
127.0,Rashied Davis,31.0,CHI,WR,16.0,0.0,0.0,0.0,0.0,0.0,,5.0,70.0,0.0,32.0,14.0,154.0,
128.0,Eric Decker,23.0,DEN,WR,14.0,0.0,0.0,0.0,0.0,0.0,,22.0,556.0,0.0,51.0,25.3,662.0,
129.0,Donald Driver,35.0,GNB,WR,15.0,15.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,565.0,PB
130.0,Jeff Dugan,29.0,MIN,TE,16.0,4.0,0.0,0.0,0.0,0.0,,2.0,8.0,0.0,5.0,4.0,40.0,
131.0,Chris Ellis,25.0,BUF,DE,5.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,
132.0,Heath Evans,32.0,NOR,FB,16.0,6.0,0.0,0.0,0.0,0.0,,4.0,45.0,0.0,13.0,11.3,88.0,
133.0,Jerome Felton,24.0,DET,RB,16.0,2.0,0.0,0.0,0.0,0.0,,2.0,59.0,0.0,37.0,29.5,189.0,
134.0,Brian Finneran,34.0,ATL,WR,16.0,1.0,0.0,0.0,0.0,0.0,,1.0,18.0,0.0,18.0,18.0,184.0,
135.0,Dane Fletcher,24.0,NWE,DE,13.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,
136.0,Andre Fluellen,25.0,DET,DT,16.0,0.0,0.0,0.0,0.0,0.0,,1.0,4.0,0.0,4.0,4.0,4.0,
137.0,Jacoby Ford,23.0,OAK,WR,16.0,9.0,0.0,0.0,0.0,0.0,,53.0,1280.0,3.0,101.0,24.2,1905.0,
138.0,Eric Foster,25.0,IND,DT,16.0,0.0,0.0,0.0,0.0,0.0,,1.0,12.0,0.0,12.0,12.0,12.0,
139.0,Justin Gage,29.0,TEN,WR,11.0,4.0,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,2.0,2.0,268.0,
140.0,David Gettis,23.0,CAR,WR,15.0,13.0,0.0,0.0,0.0,0.0,,9.0,159.0,0.0,28.0,17.7,669.0,
